T,seed,metric,value
500,1,profit,275.0012830638193
500,1,gas_M,60.71403157167164
500,1,gas_E,67.39524479544124
500,1,gas_total,128.1092763671129
500,1,gas_total_pct,2.4303898721883193
500,1,cost_pct,-27.42453310730317
500,1,dCS,3468.08288725658
500,1,dSolar,1966.4042677554517
500,1,dGasRent,-3071.666652832887
500,1,dTotal,2362.820502179139
500,2,f,0.6297666666666667
500,2,ratio,0.8691690733309023
500,2,profit,275.4058424505264
500,2,gas_M,60.538324820655504
500,2,gas_E,67.66462765020852
500,2,gas_total,128.20295247086403
500,2,gas_total_pct,2.5645763052025767
500,2,cost_pct,-27.21841425132494
500,2,dCS,3411.4569510478177
500,2,dSolar,1978.3862400444814
500,2,dGasRent,-3046.4331080086913
500,2,dTotal,2343.410083083604
500,3,f,0.6254666666666667
500,3,ratio,0.8615799849365172
500,3,profit,275.73712897175614
500,3,gas_M,60.357413396543045
500,3,gas_E,67.92032043144232
500,3,gas_total,128.27773382798537
500,3,gas_total_pct,2.727055935478282
500,3,cost_pct,-26.98576922690782
500,3,dCS,3349.088820573772
500,3,dSolar,1988.259840859001
500,3,dGasRent,-3016.7622868967846
500,3,dTotal,2320.586374535983
500,4,f,0.6337999999999999
500,4,ratio,0.8733035402779332
500,4,profit,275.1313149238772
500,4,gas_M,60.779350815313094
500,4,gas_E,67.6174812687886
500,4,gas_total,128.39683208410167
500,4,gas_total_pct,2.647233605542633
500,4,cost_pct,-27.09892997523722
500,4,dCS,3400.267475059605
500,4,dSolar,1970.6631469645845
500,4,dGasRent,-3035.743395057155
500,4,dTotal,2335.1872269670384
500,5,f,0.6267333333333334
500,5,ratio,0.8645718075598049
500,5,profit,275.6685386163049
500,5,gas_M,60.372737010935296
500,5,gas_E,67.77114435450586
500,5,gas_total,128.14388136544116
500,5,gas_total_pct,2.3837359793612563
500,5,cost_pct,-27.372102005099563
500,5,dCS,3442.2351623938703
500,5,dSolar,1986.69193064737
500,5,dGasRent,-3068.5240091102733
500,5,dTotal,2360.4030839309726
500,6,f,0.6355333333333333
500,6,ratio,0.8768500107441026
500,6,profit,274.8038555671624
500,6,gas_M,60.9047371368749
500,6,gas_E,67.56882780580504
500,6,gas_total,128.47356494267996
500,6,gas_total_pct,2.7964266521097647
500,6,cost_pct,-26.924890611656142
500,6,dCS,3370.3536737564755
500,6,dSolar,1960.4683351268295
500,6,dGasRent,-3013.073309368827
500,6,dTotal,2317.7486995144773
500,7,f,0.6318666666666666
500,7,ratio,0.8702162782074305
500,7,profit,275.1548941982066
500,7,gas_M,60.70160938897885
500,7,gas_E,67.74584689907414
500,7,gas_total,128.447456288053
500,7,gas_total_pct,2.659258014052304
500,7,cost_pct,-27.01327659881638
500,7,dCS,3384.28423013648
500,7,dSolar,1971.500742508314
500,7,dGasRent,-3027.182810625325
500,7,dTotal,2328.602162019476
500,8,f,0.6304
500,8,ratio,0.8685063456917119
500,8,profit,275.1178374121723
500,8,gas_M,60.6206790518317
500,8,gas_E,67.8206766603527
500,8,gas_total,128.44135571218442
500,8,gas_total_pct,2.6783073953779
500,8,cost_pct,-26.947748574609513
500,8,dCS,3370.950019360109
500,8,dSolar,1970.3259232841365
500,8,dGasRent,-3018.9820545380544
500,8,dTotal,2322.2938881061928
500,9,f,0.6273333333333333
500,9,ratio,0.8620143105148352
500,9,profit,275.7173429257684
500,9,gas_M,60.408347153610556
500,9,gas_E,67.92936816786616
500,9,gas_total,128.3377153214767
500,9,gas_total_pct,2.704486122874449
500,9,cost_pct,-26.988446114037256
500,9,dCS,3354.5091047393253
500,9,dSolar,1987.8368829038936
500,9,dGasRent,-3019.586862580949
500,9,dTotal,2322.7591250622636
500,10,f,0.6302666666666666
500,10,ratio,0.8684055918303639
500,10,profit,275.2085231259814
500,10,gas_M,60.62284779123701
500,10,gas_E,67.79772913700982
500,10,gas_total,128.42057692824682
500,10,gas_total_pct,2.728593277585342
500,10,cost_pct,-26.936661562774095
500,10,dCS,3362.050288181079
500,10,dSolar,1972.7368746458915
500,10,dGasRent,-3015.3144833369834
500,10,dTotal,2319.4726794899807
500,11,f,0.6390666666666666
500,11,ratio,0.8832638744006551
500,11,profit,274.3803145668385
500,11,gas_M,61.0845505345321
500,11,gas_E,67.39543719992358
500,11,gas_total,128.47998773445568
500,11,gas_total_pct,2.6449428339177534
500,11,cost_pct,-27.075041824270517
500,11,dCS,3422.2983694190916
500,11,dSolar,1948.255894183636
500,11,dGasRent,-3035.530670731974
500,11,dTotal,2335.0235928707443
500,12,f,0.6278
500,12,ratio,0.8633611121533765
500,12,profit,275.433656938698
500,12,gas_M,60.517470237669166
500,12,gas_E,67.98137847215423
500,12,gas_total,128.4988487098234
